name,category,price,quality
Dragon Kingdom,Aventura,7681,40
Empire Warrior,Simulación,39490,45
Legends Galaxy,Acción,31895,0
Chronicles Legends,Acción,19759,72
Fantasy Chronicles,Simulación,38971,21
Empire Fantasy,Estrategia,18252,48
Heroes Galaxy,RPG,39224,95
Empire Warrior,RPG,14727,16
Fantasy Dragon,Puzzle,40764,9
Dragon Chronicles,Deportes,1177,43
Kingdom Kingdom,Estrategia,67414,3
Empire Galaxy,Acción,9766,0
Empire Kingdom,Estrategia,16279,73
Dragon Galaxy,Puzzle,67745,43
Heroes Warrior,Simulación,5886,43
Galaxy Heroes,RPG,17198,1
Warrior Quest,Estrategia,7212,6
Dragon Empire,Deportes,47115,66
Chronicles Quest,Puzzle,48756,50
Galaxy Heroes,Carreras,37694,74
Galaxy Quest,Estrategia,3343,12
Quest Kingdom,Aventura,50117,36
Chronicles Galaxy,RPG,54176,63
Galaxy Fantasy,Deportes,49716,62
Empire Heroes,Aventura,61001,64
Dragon Kingdom,Deportes,66458,89
Warrior Chronicles,Puzzle,51128,70
Legends Warrior,Acción,14299,100
Warrior Empire,RPG,53460,0
Legends Empire,Aventura,58425,44
Dragon Fantasy,Carreras,7036,69
Warrior Chronicles,Simulación,11153,36
Heroes Fantasy,Acción,59818,46
Chronicles Fantasy,Acción,67849,73
Empire Fantasy,Simulación,1928,26
Chronicles Fantasy,Aventura,26799,52
Empire Galaxy,Estrategia,63772,16
Chronicles Heroes,Aventura,66470,0
Fantasy Legends,RPG,26550,89
Dragon Chronicles,Aventura,547,5
Legends Empire,Aventura,48056,50
Heroes Legends,Puzzle,11636,25
Warrior Warrior,Aventura,53029,14
Warrior Kingdom,Aventura,22013,63
Quest Dragon,Puzzle,68776,88
Heroes Empire,Deportes,49488,51
Chronicles Empire,Carreras,18000,32
Kingdom Warrior,Carreras,21017,20
Warrior Kingdom,Carreras,7149,29
Chronicles Legends,Carreras,19082,20
Quest Kingdom,Simulación,48135,28
Chronicles Dragon,Simulación,47776,36
Chronicles Kingdom,Carreras,5080,5
Fantasy Quest,Carreras,15377,56
Empire Empire,RPG,3424,97
Empire Galaxy,Carreras,1322,1
Warrior Empire,Carreras,65831,94
Warrior Warrior,Puzzle,1358,33
Chronicles Legends,Aventura,4470,87
Quest Heroes,Simulación,30370,41
Legends Chronicles,Simulación,26356,43
Heroes Galaxy,Aventura,49662,99
Chronicles Empire,RPG,27033,74
Legends Quest,Aventura,8359,30
Warrior Heroes,Simulación,6880,98
Fantasy Warrior,Acción,30824,67
Heroes Dragon,Puzzle,67681,66
Empire Warrior,Simulación,21954,18
Galaxy Quest,Simulación,40123,8
Quest Legends,Estrategia,57455,76
Galaxy Empire,Deportes,22531,82
Empire Galaxy,Aventura,12269,8
Kingdom Legends,Estrategia,61693,85
Warrior Dragon,RPG,47436,75
Quest Galaxy,Puzzle,4915,68
Quest Heroes,Simulación,18199,7
